replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,1812.3905062020249,0.265,0.0,False,0.11753940002383997
2,1834.1376671112591,0.21,0.023255813953488372,False,0.11753940002383997
3,1790.2377897625238,0.275,0.03508771929824561,False,0.11753940002383997
4,1757.939652310308,0.3,0.047619047619047616,False,0.11753940002383997
5,1725.8589887660262,0.31,0.03125,False,0.11753940002383997
6,1786.9967834300876,0.26,0.037037037037037035,False,0.11753940002383997
7,1758.5888109805153,0.29,0.04918032786885246,False,0.11753940002383997
8,1795.8323332744258,0.245,0.0392156862745098,False,0.11753940002383997
9,1795.0021288781911,0.285,0.03389830508474576,False,0.11753940002383997
10,1813.3572236917717,0.27,0.06896551724137931,False,0.11753940002383997
11,1767.413145003296,0.3,0.047619047619047616,False,0.11753940002383997
12,1740.178165328681,0.32,0.0,False,0.11753940002383997
13,1761.7205198987929,0.295,0.03278688524590164,False,0.11753940002383997
14,1711.0740175923431,0.33,0.029411764705882353,False,0.11753940002383997
15,1783.1594341635862,0.28,0.034482758620689655,False,0.11753940002383997
16,1810.8992481060666,0.26,0.05454545454545454,False,0.11753940002383997
17,1768.6559312513505,0.265,0.018518518518518517,False,0.11753940002383997
18,1799.074576014432,0.275,0.017857142857142856,False,0.11753940002383997
19,1706.8678668746502,0.34,0.0,False,0.11753940002383997
20,1779.3878864526384,0.28,0.05084745762711865,False,0.11753940002383997
21,1809.9198051711344,0.28,0.0,False,0.11753940002383997
22,1760.803847863809,0.26,0.05454545454545454,False,0.11753940002383997
23,1848.0199617024196,0.22,0.06382978723404255,False,0.11753940002383997
24,1766.3478475997952,0.275,0.05172413793103448,False,0.11753940002383997
25,1760.682197609002,0.27,0.0847457627118644,False,0.11753940002383997
26,1717.3032682599173,0.305,0.0,False,0.11753940002383997
27,1856.086527349549,0.215,0.022727272727272728,False,0.11753940002383997
28,1822.6196790337297,0.24,0.0,False,0.11753940002383997
29,1790.5856419495572,0.25,0.09090909090909091,False,0.11753940002383997
30,1696.6697151005578,0.38,0.0,False,0.11753940002383997
31,1704.1132521563625,0.315,0.045454545454545456,False,0.11753940002383997
32,1778.9215673962979,0.265,0.03636363636363636,False,0.11753940002383997
33,1827.8243407897069,0.255,0.05555555555555555,False,0.11753940002383997
34,1821.7664664713425,0.23,0.08,False,0.11753940002383997
35,1750.0387288338832,0.32,0.0,False,0.11753940002383997
36,1726.635338481872,0.345,0.028169014084507043,False,0.11753940002383997
37,1776.4851830110981,0.245,0.0392156862745098,False,0.11753940002383997
38,1761.4667951492463,0.315,0.03076923076923077,False,0.11753940002383997
39,1757.027866356323,0.29,0.06451612903225806,False,0.11753940002383997
40,1774.3109625706325,0.25,0.0196078431372549,False,0.11753940002383997
41,1767.837728874788,0.31,0.07462686567164178,False,0.11753940002383997
42,1760.7378266298194,0.27,0.05263157894736842,False,0.11753940002383997
43,1720.6121528787553,0.365,0.039473684210526314,False,0.11753940002383997
44,1793.472113800943,0.255,0.03773584905660377,False,0.11753940002383997
