replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,1763.0301806955774,0.27,0.06896551724137931,False,0.11753940002383997
2,1776.6491914324456,0.28,0.08196721311475409,False,0.11753940002383997
3,1706.2104500755022,0.29,0.09375,False,0.11753940002383997
4,1770.7241988406251,0.275,0.1791044776119403,False,0.11753940002383997
5,1700.8748298604778,0.3,0.09090909090909091,False,0.11753940002383997
6,1777.7386086563947,0.26,0.11864406779661017,False,0.11753940002383997
7,1748.0245223404813,0.24,0.15789473684210525,False,0.11753940002383997
8,1766.0532377724298,0.26,0.11864406779661017,False,0.11753940002383997
9,1717.313560940022,0.28,0.13846153846153847,False,0.11753940002383997
10,1753.048109098081,0.26,0.13333333333333333,False,0.11753940002383997
11,1776.6920401652674,0.245,0.057692307692307696,False,0.11753940002383997
12,1711.5720541588698,0.315,0.136986301369863,False,0.11753940002383997
13,1776.7136128925154,0.275,0.09836065573770492,False,0.11753940002383997
14,1731.459114196869,0.31,0.11428571428571428,False,0.11753940002383997
15,1776.4983056061235,0.23,0.14814814814814814,False,0.11753940002383997
16,1741.6082225228217,0.28,0.15151515151515152,False,0.11753940002383997
17,1751.4195585382147,0.26,0.08771929824561403,False,0.11753940002383997
18,1856.1584197575407,0.18,0.2,False,0.11753940002383997
19,1729.4892969672785,0.27,0.14285714285714285,False,0.11753940002383997
20,1736.3587395490101,0.305,0.1643835616438356,False,0.11753940002383997
21,1723.699288939627,0.34,0.15,False,0.11753940002383997
22,1760.4874987492096,0.275,0.16666666666666666,False,0.11753940002383997
23,1773.4876240094975,0.26,0.14754098360655737,False,0.11753940002383997
24,1806.4582256553488,0.205,0.14583333333333334,False,0.11753940002383997
25,1686.1669613402112,0.31,0.1267605633802817,False,0.11753940002383997
26,1704.6731033772003,0.305,0.11594202898550725,False,0.11753940002383997
27,1748.8551880117047,0.295,0.11940298507462686,False,0.11753940002383997
28,1775.204911128044,0.275,0.140625,False,0.11753940002383997
29,1788.354871203749,0.255,0.1774193548387097,False,0.11753940002383997
30,1681.2744594850105,0.335,0.1625,False,0.11753940002383997
31,1645.8813581703162,0.295,0.1323529411764706,False,0.11753940002383997
32,1685.0333619259898,0.325,0.1095890410958904,False,0.11753940002383997
33,1795.1856183061211,0.23,0.17857142857142858,False,0.11753940002383997
34,1770.9530725239315,0.255,0.08928571428571429,False,0.11753940002383997
35,1747.081975325261,0.265,0.1016949152542373,False,0.11753940002383997
36,1658.034621279065,0.315,0.125,False,0.11753940002383997
37,1750.8131656141854,0.27,0.15625,False,0.11753940002383997
38,1757.7223206064082,0.285,0.18571428571428572,False,0.11753940002383997
39,1704.6106561094343,0.34,0.15,False,0.11753940002383997
40,1758.3322166229211,0.275,0.15384615384615385,False,0.11753940002383997
41,1767.0232618654823,0.25,0.18032786885245902,False,0.11753940002383997
42,1738.7441809865088,0.29,0.12121212121212122,False,0.11753940002383997
43,1719.282229192188,0.315,0.18181818181818182,False,0.11753940002383997
44,1731.2037701002132,0.325,0.14473684210526316,False,0.11753940002383997
45,1758.11083194549,0.255,0.1206896551724138,False,0.11753940002383997
46,1708.3775168671689,0.305,0.12857142857142856,False,0.11753940002383997
47,1762.082190985679,0.275,0.11290322580645161,False,0.11753940002383997
48,1756.606839090719,0.285,0.06557377049180328,False,0.11753940002383997
49,1691.982961962331,0.295,0.09230769230769231,False,0.11753940002383997
50,1785.8988139578366,0.255,0.22727272727272727,False,0.11753940002383997
51,1766.791740674323,0.27,0.11475409836065574,False,0.11753940002383997
52,1735.3194818285829,0.26,0.16129032258064516,False,0.11753940002383997
53,1772.8851320842127,0.285,0.109375,False,0.11753940002383997
54,1706.815285901092,0.29,0.06451612903225806,False,0.11753940002383997
55,1740.7082240496986,0.275,0.15384615384615385,False,0.11753940002383997
56,1742.4536895145593,0.285,0.06557377049180328,False,0.11753940002383997
57,1683.139666761845,0.32,0.15789473684210525,False,0.11753940002383997
58,1796.417941712004,0.245,0.2222222222222222,False,0.11753940002383997
59,1675.428121610231,0.33,0.12,False,0.11753940002383997
60,1625.1522151518454,0.405,0.024096385542168676,False,0.11753940002383997
61,1789.8937681469286,0.245,0.2222222222222222,False,0.11753940002383997
62,1749.1513170236344,0.27,0.1,False,0.11753940002383997
63,1636.3827656392275,0.36,0.08860759493670886,False,0.11753940002383997
64,1820.1847663968263,0.24,0.14285714285714285,False,0.11753940002383997
65,1777.0817105551782,0.26,0.11864406779661017,False,0.11753940002383997
66,1832.2403366037743,0.185,0.0975609756097561,False,0.11753940002383997
67,1788.649898526444,0.25,0.12280701754385964,False,0.11753940002383997
68,1712.3918713655446,0.305,0.1527777777777778,False,0.11753940002383997
69,1786.1378095296122,0.24,0.07692307692307693,False,0.11753940002383997
70,1850.8299683026407,0.205,0.19607843137254902,False,0.11753940002383997
71,1786.8607284063319,0.235,0.17543859649122806,False,0.11753940002383997
72,1797.4232495211377,0.255,0.16393442622950818,False,0.11753940002383997
73,1658.185729395408,0.36,0.1,False,0.11753940002383997
74,1728.4341283995714,0.255,0.1206896551724138,False,0.11753940002383997
75,1779.6285647627196,0.225,0.1,False,0.11753940002383997
76,1689.9289135065596,0.325,0.13333333333333333,False,0.11753940002383997
77,1803.3142005159073,0.25,0.13793103448275862,False,0.11753940002383997
78,1768.071607840497,0.245,0.19672131147540983,False,0.11753940002383997
79,1718.2369983647898,0.285,0.08064516129032258,False,0.11753940002383997
80,1824.5325742737323,0.185,0.0975609756097561,False,0.11753940002383997
81,1773.7095960163026,0.245,0.20967741935483872,False,0.11753940002383997
82,1712.549849263872,0.31,0.11428571428571428,False,0.11753940002383997
83,1719.2409464515104,0.285,0.06557377049180328,False,0.11753940002383997
84,1743.7042983071603,0.27,0.12903225806451613,False,0.11753940002383997
85,1780.514310753013,0.275,0.19117647058823528,False,0.11753940002383997
86,1701.6649819072206,0.29,0.07936507936507936,False,0.11753940002383997
87,1745.6353660233826,0.275,0.12698412698412698,False,0.11753940002383997
88,1781.040261203453,0.25,0.12280701754385964,False,0.11753940002383997
89,1769.3191680689404,0.245,0.14035087719298245,False,0.11753940002383997
90,1736.1615942867475,0.26,0.1875,False,0.11753940002383997
91,1746.0216424125056,0.285,0.17391304347826086,False,0.11753940002383997
92,1806.6031710858424,0.255,0.23880597014925373,False,0.11753940002383997
93,1789.898487994919,0.26,0.1875,False,0.11753940002383997
94,1700.6376473944135,0.34,0.09333333333333334,False,0.11753940002383997
95,1717.690157010315,0.3,0.2,False,0.11753940002383997
96,1718.5527256290866,0.285,0.08064516129032258,False,0.11753940002383997
97,1788.048747268305,0.235,0.11320754716981132,False,0.11753940002383997
98,1796.507736563829,0.255,0.10526315789473684,False,0.11753940002383997
99,1747.2360944479067,0.275,0.16666666666666666,False,0.11753940002383997
