replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,0.9235547104953982,0.98,0.4367816091954023,False,0.0018548418873009218
2,0.9961190469577916,0.96,0.38461538461538464,False,0.0018548418873009218
3,1.6564020581663872,0.84,0.4473684210526316,False,0.0018548418873009218
4,0.9170909505406553,0.96,0.4074074074074074,False,0.0018548418873009218
5,1.0677930248436414,0.94,0.3815789473684211,False,0.0018548418873009218
6,0.66906671329143,0.94,0.4268292682926829,False,0.0018548418873009218
7,1.0181653129106376,0.92,0.3783783783783784,False,0.0018548418873009218
8,0.6989707806526587,0.96,0.38461538461538464,False,0.0018548418873009218
9,1.2906822722139182,0.94,0.3561643835616438,False,0.0018548418873009218
10,0.6771623624795056,0.94,0.3472222222222222,False,0.0018548418873009218
11,1.1717951852332833,0.86,0.37681159420289856,False,0.0018548418873009218
12,1.3111923585823324,0.9,0.4375,False,0.0018548418873009218
13,1.4449876360797385,0.9,0.3918918918918919,False,0.0018548418873009218
14,1.3265357989607245,0.92,0.4025974025974026,False,0.0018548418873009218
15,1.3977869377294692,0.9,0.4444444444444444,False,0.0018548418873009218
16,1.259435444532759,0.9,0.3835616438356164,False,0.0018548418873009218
17,1.183525765193715,0.88,0.40540540540540543,False,0.0018548418873009218
18,1.0853017176207114,0.94,0.36486486486486486,False,0.0018548418873009218
19,1.528534442557452,0.84,0.373134328358209,False,0.0018548418873009218
20,0.8528857548486027,0.96,0.3142857142857143,False,0.0018548418873009218
21,0.8296773828509424,0.92,0.352112676056338,False,0.0018548418873009218
22,0.772910617486976,0.94,0.4050632911392405,False,0.0018548418873009218
23,1.302564154681259,0.96,0.35135135135135137,False,0.0018548418873009218
24,1.0362890268693534,0.92,0.3783783783783784,False,0.0018548418873009218
25,0.8511908103097521,0.98,0.3950617283950617,False,0.0018548418873009218
26,1.1069775224275522,0.94,0.43373493975903615,False,0.0018548418873009218
27,0.6857627585689205,1.0,0.3902439024390244,False,0.0018548418873009218
28,1.433967805732139,0.86,0.45569620253164556,False,0.0018548418873009218
29,0.9599820574864862,0.96,0.3924050632911392,False,0.0018548418873009218
30,0.7753012142129333,1.0,0.42528735632183906,False,0.0018548418873009218
31,0.8275592773070568,0.98,0.4166666666666667,False,0.0018548418873009218
32,1.1561321565328009,0.9,0.5054945054945055,False,0.0018548418873009218
33,0.6460228843648685,1.0,0.40476190476190477,False,0.0018548418873009218
34,0.9804599992057239,0.98,0.40963855421686746,False,0.0018548418873009218
35,1.217403169587508,0.9,0.3382352941176471,False,0.0018548418873009218
36,1.0909766538770398,0.88,0.3972602739726027,False,0.0018548418873009218
37,1.4879012583764166,0.88,0.3888888888888889,False,0.0018548418873009218
38,0.8398485268529684,0.94,0.38961038961038963,False,0.0018548418873009218
39,1.1849127021551504,0.96,0.38461538461538464,False,0.0018548418873009218
40,1.1739968994068521,0.88,0.40540540540540543,False,0.0018548418873009218
41,0.6672661187296074,0.98,0.3717948717948718,False,0.0018548418873009218
42,1.362126601513619,0.86,0.410958904109589,False,0.0018548418873009218
43,1.1013766884054794,0.94,0.38961038961038963,False,0.0018548418873009218
44,1.297156777530464,0.92,0.48314606741573035,False,0.0018548418873009218
