theta,rho,beta_min,n,p,k,sigma,lambda_factor,average_mse,average_tpr,average_fdp,exact_support_recovery_rate,unsigned_support_recovery_rate,lambda_used,n_reps
15.290668432382795,0.0,0.5,420,1000,40,1.0,1.0,0.006215378950534631,0.7923750000000002,0.06963947815964547,0.0,0.0,0.36273446352425787,1000
16.38285903469585,0.0,0.5,450,1000,40,1.0,1.0,0.005904600227047745,0.8353999999999996,0.056194902697093645,0.0,0.0,0.35043478465046213,1000
17.475049637008908,0.0,0.5,480,1000,40,1.0,1.0,0.005582698883016331,0.8730250000000009,0.044495820596582976,0.004,0.004,0.33930702122075557,1000
19.65943084163502,0.0,0.5,540,1000,40,1.0,1.0,0.005022946652339497,0.9322250000000023,0.029344827786672054,0.042,0.042,0.3199017274792054,1000
20.75162144394808,0.0,0.5,570,1000,40,1.0,1.0,0.004789543891800298,0.9494500000000047,0.02322098644723617,0.076,0.076,0.3113694771231757,1000
22.936002648574192,0.0,0.5,630,1000,40,1.0,1.0,0.004301032790542136,0.9775000000000067,0.013296857859856756,0.295,0.295,0.2961714492522095,1000
24.02819325088725,0.0,0.5,660,1000,40,1.0,1.0,0.004086213182882908,0.986325000000005,0.010683351246589723,0.411,0.411,0.2893619999550136,1000
25.120383853200305,0.0,0.5,690,1000,40,1.0,1.0,0.0038814431504235647,0.9911250000000039,0.00866238432756703,0.523,0.523,0.28300161886118913,1000
27.30476505782642,0.0,0.5,750,1000,40,1.0,1.0,0.0035271146592801145,0.9963750000000016,0.00533460323000879,0.716,0.716,0.27144561697660446,1000
28.396955660139476,0.0,0.5,780,1000,40,1.0,1.0,0.0033720195656062506,0.9981000000000011,0.003746120578180913,0.804,0.804,0.2661743265082575,1000
29.489146262452532,0.0,0.5,810,1000,40,1.0,1.0,0.0032203522630835416,0.9988750000000006,0.003013178502344697,0.856,0.856,0.2611986667196444,1000
31.673527467078646,0.0,0.5,870,1000,40,1.0,1.0,0.0029692046944785927,0.9997000000000003,0.0018763356562137064,0.914,0.914,0.2520309282057453,1000
32.7657180693917,0.0,0.5,900,1000,40,1.0,1.0,0.0028591484138520665,0.9999000000000001,0.0013635307781649252,0.942,0.942,0.24779481258998923,1000
34.950099274017816,0.0,0.5,960,1000,40,1.0,1.0,0.002657085639490104,0.99995,0.0014367015098722424,0.941,0.941,0.23992629560940407,1000
36.04228987633087,0.0,0.5,990,1000,40,1.0,1.0,0.002565849260373516,1.0,0.0008292682926829272,0.966,0.966,0.23626308361367743,1000
37.13448047864393,0.0,0.5,1020,1000,40,1.0,1.0,0.00246601785061404,1.0,0.0007560975609756101,0.969,0.969,0.23276269627311522,1000
39.31886168327004,0.0,0.5,1080,1000,40,1.0,1.0,0.0023284232548301457,1.0,0.0005365853658536587,0.978,0.978,0.22620468081383707,1000
40.4110522855831,0.0,0.5,1110,1000,40,1.0,1.0,0.002250608038294566,1.0,0.00031707317073170733,0.987,0.987,0.22312692269715836,1000
41.50324288789616,0.0,0.5,1140,1000,40,1.0,1.0,0.0021907670749347573,1.0,0.0004146341463414635,0.983,0.983,0.2201714687283071,1000
43.68762409252227,0.0,0.5,1200,1000,40,1.0,1.0,0.0020585528957910663,1.0,0.00048780487804878065,0.98,0.98,0.2145966026289347,1000
44.77981469483532,0.0,0.5,1230,1000,40,1.0,1.0,0.002010095131972622,1.0,0.00019512195121951218,0.992,0.992,0.21196341575704994,1000
46.96419589946144,0.0,0.5,1290,1000,40,1.0,1.0,0.0019025748381944832,1.0,7.317073170731708e-05,0.997,0.997,0.20697534255991992,1000
48.0563865017745,0.0,0.5,1320,1000,40,1.0,1.0,0.0018716309853704163,1.0,0.00014634146341463414,0.994,0.994,0.2046098323858916,1000
49.14857710408755,0.0,0.5,1350,1000,40,1.0,1.0,0.0018158604886889527,1.0,4.878048780487805e-05,0.998,0.998,0.20232361725135284,1000
51.332958308713664,0.0,0.5,1410,1000,40,1.0,1.0,0.0017398672374877146,1.0,7.317073170731708e-05,0.997,0.997,0.19797206306216575,1000
52.425148911026724,0.0,0.5,1440,1000,40,1.0,1.0,0.0016984302941038059,1.0,7.317073170731708e-05,0.997,0.997,0.1958990000397333,1000
13.106287227756681,0.0,1.0,90,1000,40,1.0,1.0,0.03740983577776899,0.26220000000000027,0.7354502404241577,0.0,0.0,0.7835960001589332,1000
53.51733951333978,0.0,0.5,1470,1000,40,1.0,1.0,0.0016575733824351721,1.0,4.878048780487805e-05,0.998,0.998,0.19388972641186034,1000
17.475049637008908,0.0,1.0,120,1000,40,1.0,1.0,0.033915745154092306,0.39360000000000006,0.6776163486970461,0.0,0.0,0.6786140424415111,1000
17.475049637008908,0.0,1.0,120,1000,40,1.0,1.0,0.0340614735439124,0.3921750000000002,0.6765349176589496,0.0,0.0,0.6786140424415111,1000
55.70172071796589,0.0,0.5,1530,1000,40,1.0,1.0,0.0015887838470256342,1.0,9.75609756097561e-05,0.996,0.996,0.19004994567451733,1000
17.475049637008908,0.0,1.0,120,1000,40,1.0,1.0,0.03398016611754334,0.39244999999999963,0.6783641923727289,0.0,0.0,0.6786140424415111,1000
21.843812046261135,0.0,1.0,150,1000,40,1.0,1.0,0.030421597581981496,0.5303750000000005,0.6169889955953738,0.0,0.0,0.6069708517540585,1000
56.79391132027895,0.0,0.5,1560,1000,40,1.0,1.0,0.0015562868930775384,1.0,2.4390243902439026e-05,0.999,0.999,0.1882136712517511,1000
21.843812046261135,0.0,1.0,150,1000,40,1.0,1.0,0.030165658311917382,0.5370000000000006,0.6122862210180572,0.0,0.0,0.6069708517540585,1000
21.843812046261135,0.0,1.0,150,1000,40,1.0,1.0,0.03036201655162045,0.5345499999999999,0.6123571350061889,0.0,0.0,0.6069708517540585,1000
26.212574455513362,0.0,1.0,180,1000,40,1.0,1.0,0.026491847783446952,0.6703499999999996,0.5500846796217692,0.0,0.0,0.5540860454230366,1000
58.978292524905065,0.0,0.5,1620,1000,40,1.0,1.0,0.001486477161495028,1.0,9.75609756097561e-05,0.996,0.996,0.18469534847434554,1000
26.212574455513362,0.0,1.0,180,1000,40,1.0,1.0,0.02649517041626806,0.6700499999999995,0.5485064075588711,0.0,0.0,0.5540860454230366,1000
30.58133686476559,0.0,1.0,210,1000,40,1.0,1.0,0.0226325013191466,0.7934999999999995,0.47772684204758914,0.0,0.0,0.5129839978561342,1000
30.58133686476559,0.0,1.0,210,1000,40,1.0,1.0,0.022609090708196944,0.7934999999999989,0.4792284986042854,0.0,0.0,0.5129839978561342,1000
30.58133686476559,0.0,1.0,210,1000,40,1.0,1.0,0.022641924706520013,0.792725,0.47756019610717526,0.0,0.0,0.5129839978561342,1000
34.950099274017816,0.0,1.0,240,1000,40,1.0,1.0,0.018875230139733048,0.890600000000001,0.4075085738304048,0.0,0.0,0.47985259121880813,1000
34.950099274017816,0.0,1.0,240,1000,40,1.0,1.0,0.018882887427005286,0.891000000000001,0.40633119983078064,0.0,0.0,0.47985259121880813,1000
34.950099274017816,0.0,1.0,240,1000,40,1.0,1.0,0.018969071426993035,0.889000000000001,0.40541389177337694,0.0,0.0,0.47985259121880813,1000
39.31886168327004,0.0,1.0,270,1000,40,1.0,1.0,0.015351242691433559,0.9547500000000038,0.32458212830406413,0.001,0.001,0.45240936162767414,1000
60.07048312721812,0.0,0.5,1650,1000,40,1.0,1.0,0.0014669152841861185,1.0,0.0,1.0,1.0,0.18300859763187663,1000
39.31886168327004,0.0,1.0,270,1000,40,1.0,1.0,0.015284859141534763,0.9551750000000042,0.32609774857423907,0.0,0.0,0.45240936162767414,1000
39.31886168327004,0.0,1.0,270,1000,40,1.0,1.0,0.015345691487634087,0.955650000000005,0.32596102831768814,0.0,0.0,0.45240936162767414,1000
43.68762409252227,0.0,1.0,300,1000,40,1.0,1.0,0.012825877046862779,0.983600000000004,0.2609968770284272,0.0,0.0,0.4291932052578694,1000
43.68762409252227,0.0,1.0,300,1000,40,1.0,1.0,0.012795931300232244,0.9838750000000044,0.26234420870402064,0.0,0.0,0.4291932052578694,1000
43.68762409252227,0.0,1.0,300,1000,40,1.0,1.0,0.0126965196451835,0.9849750000000043,0.25592949951865934,0.0,0.0,0.4291932052578694,1000
48.0563865017745,0.0,1.0,330,1000,40,1.0,1.0,0.010796752626046052,0.9955500000000024,0.1998911215985716,0.0,0.0,0.4092196647717832,1000
48.0563865017745,0.0,1.0,330,1000,40,1.0,1.0,0.010772402274068671,0.9958250000000021,0.1994635787252971,0.0,0.0,0.4092196647717832,1000
48.0563865017745,0.0,1.0,330,1000,40,1.0,1.0,0.010866389924521358,0.9949250000000024,0.20099088286618885,0.0,0.0,0.4092196647717832,1000
52.425148911026724,0.0,1.0,360,1000,40,1.0,1.0,0.009294287942115254,0.9990250000000004,0.15221031613853864,0.0,0.0,0.3917980000794666,1000
52.425148911026724,0.0,1.0,360,1000,40,1.0,1.0,0.00927441754777405,0.9993000000000003,0.15159866974607297,0.002,0.002,0.3917980000794666,1000
52.425148911026724,0.0,1.0,360,1000,40,1.0,1.0,0.009377050319947242,0.9986250000000008,0.15339282082000508,0.005,0.005,0.3917980000794666,1000
56.79391132027895,0.0,1.0,390,1000,40,1.0,1.0,0.008139520218262489,0.9997250000000001,0.11198255808713452,0.013,0.013,0.3764273425035022,1000
56.79391132027895,0.0,1.0,390,1000,40,1.0,1.0,0.008117445225071768,0.9999000000000001,0.11336027263275748,0.012,0.012,0.3764273425035022,1000
56.79391132027895,0.0,1.0,390,1000,40,1.0,1.0,0.008245891643499953,0.9997750000000001,0.11493375559979878,0.013,0.013,0.3764273425035022,1000
15.290668432382795,0.3,0.5,420,1000,40,1.0,1.0,0.006275729479076492,0.7776000000000003,0.09260485313858677,0.0,0.0,0.36273446352425787,1000
61.16267372953118,0.0,1.0,420,1000,40,1.0,1.0,0.007384419886203635,1.0,0.08962218411679762,0.03,0.03,0.36273446352425787,1000
16.38285903469585,0.3,0.5,450,1000,40,1.0,1.0,0.005978251767752863,0.8210999999999992,0.07538541118086477,0.0,0.0,0.35043478465046213,1000
17.475049637008908,0.3,0.5,480,1000,40,1.0,1.0,0.005666847579465601,0.8631499999999983,0.06392730069954963,0.003,0.003,0.33930702122075557,1000
19.65943084163502,0.3,0.5,540,1000,40,1.0,1.0,0.0050905323591673305,0.9182750000000016,0.041523911845582476,0.016,0.016,0.3199017274792054,1000
20.75162144394808,0.3,0.5,570,1000,40,1.0,1.0,0.004812807253292815,0.9390500000000035,0.03485407272594903,0.043,0.043,0.3113694771231757,1000
22.936002648574192,0.3,0.5,630,1000,40,1.0,1.0,0.004377455519045851,0.9676500000000062,0.024690209507411694,0.141,0.141,0.2961714492522095,1000
24.02819325088725,0.3,0.5,660,1000,40,1.0,1.0,0.00416010140362931,0.9760250000000058,0.020374994386035475,0.219,0.219,0.2893619999550136,1000
25.120383853200305,0.3,0.5,690,1000,40,1.0,1.0,0.003948602106803574,0.9840250000000059,0.01617721236675913,0.312,0.312,0.28300161886118913,1000
27.30476505782642,0.3,0.5,750,1000,40,1.0,1.0,0.003586589180646941,0.991725000000004,0.011946422503777587,0.478,0.478,0.27144561697660446,1000
28.396955660139476,0.3,0.5,780,1000,40,1.0,1.0,0.0034487688673292913,0.9934250000000029,0.010438153007892047,0.521,0.521,0.2661743265082575,1000
29.489146262452532,0.3,0.5,810,1000,40,1.0,1.0,0.003293425968596785,0.9963500000000021,0.009030902775613482,0.605,0.605,0.2611986667196444,1000
31.673527467078646,0.3,0.5,870,1000,40,1.0,1.0,0.0030429877453402167,0.9978750000000013,0.005855220403532941,0.73,0.73,0.2520309282057453,1000
32.7657180693917,0.3,0.5,900,1000,40,1.0,1.0,0.0029289357737966714,0.9984250000000009,0.00567967479674797,0.748,0.748,0.24779481258998923,1000
34.950099274017816,0.3,0.5,960,1000,40,1.0,1.0,0.0027439849832905246,0.9992250000000005,0.004059372552197284,0.817,0.817,0.23992629560940407,1000
36.04228987633087,0.3,0.5,990,1000,40,1.0,1.0,0.002622337419628313,0.9994500000000003,0.0038202403287769153,0.844,0.844,0.23626308361367743,1000
37.13448047864393,0.3,0.5,1020,1000,40,1.0,1.0,0.00253921636888131,0.9997000000000001,0.00291303108878265,0.882,0.882,0.23276269627311522,1000
39.31886168327004,0.3,0.5,1080,1000,40,1.0,1.0,0.002404290508169379,0.9998000000000001,0.0027417706560786555,0.891,0.891,0.22620468081383707,1000
40.4110522855831,0.3,0.5,1110,1000,40,1.0,1.0,0.0023077023266518735,0.9998500000000001,0.0018695290765200023,0.924,0.924,0.22312692269715836,1000
41.50324288789616,0.3,0.5,1140,1000,40,1.0,1.0,0.0022573980604882944,0.99995,0.0026295005807200947,0.894,0.894,0.2201714687283071,1000
43.68762409252227,0.3,0.5,1200,1000,40,1.0,1.0,0.002133916850648621,0.99995,0.0015853658536585376,0.933,0.933,0.2145966026289347,1000
44.77981469483532,0.3,0.5,1230,1000,40,1.0,1.0,0.002077308329249172,1.0,0.001584204413472707,0.936,0.936,0.21196341575704994,1000
46.96419589946144,0.3,0.5,1290,1000,40,1.0,1.0,0.0019586908608569703,0.99995,0.0012195121951219519,0.948,0.948,0.20697534255991992,1000
48.0563865017745,0.3,0.5,1320,1000,40,1.0,1.0,0.001915209893069696,0.99995,0.0009488966318234615,0.961,0.961,0.2046098323858916,1000
49.14857710408755,0.3,0.5,1350,1000,40,1.0,1.0,0.0018637599853205153,1.0,0.0009024390243902444,0.963,0.963,0.20232361725135284,1000
