replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,462.6227083793931,0.3,0.0,False,0.12696764331132948
2,461.37882414354476,0.3,0.0,False,0.12696764331132948
3,451.15010583725245,0.42,0.0,False,0.12696764331132948
4,460.36789697403776,0.32,0.0,False,0.12696764331132948
5,474.08419276856984,0.26,0.0,False,0.12696764331132948
6,469.74059103373224,0.2,0.0,False,0.12696764331132948
7,431.03289714458623,0.46,0.0,False,0.12696764331132948
8,442.6636058782558,0.42,0.0,False,0.12696764331132948
9,468.53757716356967,0.2,0.0,False,0.12696764331132948
10,444.3333452980746,0.42,0.0,False,0.12696764331132948
11,474.2756296426989,0.26,0.0,False,0.12696764331132948
12,458.11671645062836,0.34,0.0,False,0.12696764331132948
13,462.47379470049077,0.28,0.0,False,0.12696764331132948
14,457.6395247474978,0.26,0.0,False,0.12696764331132948
15,473.96755405616466,0.24,0.0,False,0.12696764331132948
16,440.3299095558702,0.4,0.0,False,0.12696764331132948
17,469.0202793811573,0.26,0.0,False,0.12696764331132948
18,463.86573278768464,0.26,0.0,False,0.12696764331132948
19,429.22129556781726,0.42,0.0,False,0.12696764331132948
20,449.7013337727118,0.38,0.0,False,0.12696764331132948
21,453.5965065803263,0.34,0.0,False,0.12696764331132948
22,468.57391505868003,0.3,0.0,False,0.12696764331132948
23,458.28038687546314,0.28,0.0,False,0.12696764331132948
24,456.4047343044808,0.32,0.0,False,0.12696764331132948
25,459.8318841869367,0.4,0.0,False,0.12696764331132948
26,460.55213516690554,0.36,0.0,False,0.12696764331132948
27,452.7553985789063,0.36,0.0,False,0.12696764331132948
28,455.3128277312162,0.32,0.0,False,0.12696764331132948
29,470.69102645774524,0.26,0.0,False,0.12696764331132948
30,467.3832410034809,0.28,0.0,False,0.12696764331132948
31,439.8989743128288,0.32,0.0,False,0.12696764331132948
32,467.5330156832617,0.34,0.0,False,0.12696764331132948
33,449.2926679872129,0.32,0.0,False,0.12696764331132948
34,462.95971969255544,0.26,0.0,False,0.12696764331132948
35,460.5214865231019,0.22,0.0,False,0.12696764331132948
36,435.12082005158544,0.48,0.0,False,0.12696764331132948
37,461.17858189163275,0.24,0.0,False,0.12696764331132948
38,464.60092676225446,0.28,0.0,False,0.12696764331132948
39,454.40976973653045,0.36,0.0,False,0.12696764331132948
40,464.9830321261353,0.26,0.0,False,0.12696764331132948
41,474.62259080097795,0.26,0.0,False,0.12696764331132948
42,459.6810983002111,0.3,0.0,False,0.12696764331132948
43,493.38273196525023,0.1,0.0,False,0.12696764331132948
44,479.7793374797822,0.18,0.0,False,0.12696764331132948
45,470.0905594793541,0.22,0.0,False,0.12696764331132948
46,475.09888246520563,0.22,0.0,False,0.12696764331132948
47,479.7269843850944,0.18,0.0,False,0.12696764331132948
48,458.20193333968774,0.34,0.0,False,0.12696764331132948
49,466.95457613421536,0.24,0.0,False,0.12696764331132948
50,470.0364493060797,0.38,0.0,False,0.12696764331132948
51,470.5280081360411,0.22,0.0,False,0.12696764331132948
52,451.32637038141536,0.42,0.0,False,0.12696764331132948
53,445.4918270784387,0.38,0.0,False,0.12696764331132948
54,475.62546441701426,0.24,0.0,False,0.12696764331132948
55,458.6484908280537,0.34,0.0,False,0.12696764331132948
56,461.36795473603127,0.3,0.0,False,0.12696764331132948
57,456.98407914467623,0.32,0.0,False,0.12696764331132948
58,438.7327158056576,0.4,0.0,False,0.12696764331132948
59,469.6379567359326,0.32,0.0,False,0.12696764331132948
60,481.3632355151338,0.2,0.0,False,0.12696764331132948
61,451.2216828587355,0.4,0.0,False,0.12696764331132948
62,481.1144139181376,0.24,0.0,False,0.12696764331132948
63,467.7624263056909,0.24,0.0,False,0.12696764331132948
64,464.8659678736988,0.26,0.0,False,0.12696764331132948
65,478.1381315403854,0.22,0.0,False,0.12696764331132948
66,462.028805157446,0.36,0.0,False,0.12696764331132948
67,463.12197649888464,0.24,0.0,False,0.12696764331132948
68,454.25794091902173,0.3,0.0,False,0.12696764331132948
69,416.41114225294234,0.52,0.0,False,0.12696764331132948
70,462.63757948097305,0.32,0.0,False,0.12696764331132948
71,472.79112670798287,0.32,0.0,False,0.12696764331132948
72,455.0555682983596,0.32,0.0,False,0.12696764331132948
73,470.03756620975713,0.26,0.0,False,0.12696764331132948
74,467.88460967862176,0.28,0.0,False,0.12696764331132948
75,462.3181647770207,0.32,0.0,False,0.12696764331132948
76,460.9330273834835,0.34,0.0,False,0.12696764331132948
77,467.7549384764778,0.32,0.0,False,0.12696764331132948
78,482.01174844021705,0.2,0.0,False,0.12696764331132948
79,463.5799500483696,0.34,0.0,False,0.12696764331132948
80,461.75932892663906,0.28,0.0,False,0.12696764331132948
81,434.03705569180346,0.4,0.0,False,0.12696764331132948
82,449.1154224485237,0.34,0.0,False,0.12696764331132948
83,460.0946692015834,0.34,0.0,False,0.12696764331132948
84,479.6503675999537,0.22,0.0,False,0.12696764331132948
85,445.0975430608599,0.36,0.0,False,0.12696764331132948
86,451.1225938545853,0.38,0.0,False,0.12696764331132948
87,474.34530094856194,0.18,0.0,False,0.12696764331132948
88,447.94494021140576,0.3,0.0,False,0.12696764331132948
89,459.32739452671706,0.26,0.0,False,0.12696764331132948
90,456.70402631380995,0.22,0.0,False,0.12696764331132948
91,445.76248042822516,0.48,0.0,False,0.12696764331132948
92,451.4943380970217,0.4,0.0,False,0.12696764331132948
93,458.1016143935729,0.38,0.0,False,0.12696764331132948
94,460.6931979689408,0.3,0.0,False,0.12696764331132948
95,430.7240050978015,0.48,0.0,False,0.12696764331132948
96,458.3746693123062,0.26,0.0,False,0.12696764331132948
97,470.30079170803856,0.28,0.0,False,0.12696764331132948
98,453.8836259880358,0.34,0.0,False,0.12696764331132948
99,475.08742380114165,0.18,0.0,False,0.12696764331132948
100,475.01875664893987,0.28,0.0,False,0.12696764331132948
101,442.68063688460694,0.38,0.0,False,0.12696764331132948
102,444.0719498394497,0.42,0.0,False,0.12696764331132948
103,453.7588824936466,0.36,0.0,False,0.12696764331132948
104,445.28356695577133,0.34,0.0,False,0.12696764331132948
105,456.3934220262066,0.38,0.0,False,0.12696764331132948
106,464.21578976065354,0.24,0.0,False,0.12696764331132948
107,460.7845261085698,0.26,0.0,False,0.12696764331132948
108,468.5437904633171,0.36,0.0,False,0.12696764331132948
109,458.9216700271915,0.28,0.0,False,0.12696764331132948
110,462.49742252973766,0.36,0.0,False,0.12696764331132948
111,461.11332924437824,0.38,0.0,False,0.12696764331132948
112,446.1267933633708,0.36,0.0,False,0.12696764331132948
113,448.13879234772384,0.28,0.0,False,0.12696764331132948
114,444.6260588947523,0.3,0.0,False,0.12696764331132948
115,456.4774685481467,0.34,0.0,False,0.12696764331132948
116,478.5843703948964,0.2,0.0,False,0.12696764331132948
117,441.2492670675611,0.4,0.0,False,0.12696764331132948
118,456.4183756416987,0.32,0.0,False,0.12696764331132948
119,481.08659918760077,0.24,0.0,False,0.12696764331132948
120,455.8198996171191,0.3,0.0,False,0.12696764331132948
121,449.083980134014,0.38,0.0,False,0.12696764331132948
122,464.4563108299199,0.24,0.0,False,0.12696764331132948
123,472.16150321867354,0.24,0.0,False,0.12696764331132948
124,472.50832574597945,0.24,0.0,False,0.12696764331132948
125,455.02153035719937,0.32,0.0,False,0.12696764331132948
126,442.36962858592494,0.36,0.0,False,0.12696764331132948
127,459.4081806450949,0.28,0.0,False,0.12696764331132948
128,436.6887690105046,0.48,0.0,False,0.12696764331132948
