replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,407.3020233172161,0.52,0.0,False,0.14191274861197922
2,418.15256231798594,0.48,0.0,False,0.14191274861197922
3,412.57204113801305,0.56,0.0,False,0.14191274861197922
4,428.72365389760154,0.48,0.0,False,0.14191274861197922
5,429.49366867254184,0.48,0.0,False,0.14191274861197922
6,437.2334556769519,0.4,0.0,False,0.14191274861197922
7,434.3825774462179,0.4,0.0,False,0.14191274861197922
8,436.19630730285945,0.4,0.0,False,0.14191274861197922
9,454.2907364135327,0.4,0.047619047619047616,False,0.14191274861197922
10,420.5714807629962,0.48,0.0,False,0.14191274861197922
11,428.042291221753,0.48,0.0,False,0.14191274861197922
12,404.7246054892141,0.5,0.0,False,0.14191274861197922
13,392.65341782253665,0.56,0.0,False,0.14191274861197922
14,431.1513253419517,0.5,0.0,False,0.14191274861197922
15,402.9297247712043,0.48,0.0,False,0.14191274861197922
16,395.19499723279756,0.56,0.0,False,0.14191274861197922
17,412.2064900634472,0.6,0.0,False,0.14191274861197922
18,407.5294020638873,0.54,0.0,False,0.14191274861197922
19,440.77218138041906,0.38,0.0,False,0.14191274861197922
20,429.08661467966346,0.42,0.0,False,0.14191274861197922
21,393.6511363576597,0.6,0.0,False,0.14191274861197922
22,429.20163208037303,0.52,0.0,False,0.14191274861197922
23,435.3563552631959,0.42,0.0,False,0.14191274861197922
24,406.87691248744756,0.5,0.0,False,0.14191274861197922
25,431.0724869170797,0.46,0.041666666666666664,False,0.14191274861197922
26,419.55967548163227,0.5,0.0,False,0.14191274861197922
27,444.43332398738295,0.4,0.0,False,0.14191274861197922
28,436.0535249597018,0.58,0.0,False,0.14191274861197922
29,409.16463557305923,0.58,0.0,False,0.14191274861197922
30,425.42008912833813,0.44,0.0,False,0.14191274861197922
31,438.86315451162153,0.38,0.0,False,0.14191274861197922
32,406.0055903189073,0.48,0.0,False,0.14191274861197922
33,439.45143609710317,0.3,0.0,False,0.14191274861197922
34,394.60322581773005,0.52,0.0,False,0.14191274861197922
35,435.46690595807627,0.38,0.0,False,0.14191274861197922
36,418.4789541968097,0.54,0.0,False,0.14191274861197922
37,405.0560417200703,0.58,0.0,False,0.14191274861197922
38,393.51551183717663,0.58,0.0,False,0.14191274861197922
39,419.13839586295944,0.52,0.0,False,0.14191274861197922
40,408.46158547777395,0.54,0.0,False,0.14191274861197922
41,405.5275470776064,0.52,0.0,False,0.14191274861197922
42,417.56495873880107,0.48,0.0,False,0.14191274861197922
43,455.51330466028,0.38,0.0,False,0.14191274861197922
44,430.56790275281145,0.4,0.0,False,0.14191274861197922
45,394.4514742104652,0.56,0.0,False,0.14191274861197922
46,428.4171069013492,0.4,0.0,False,0.14191274861197922
47,404.74156096936935,0.58,0.0,False,0.14191274861197922
48,425.7876463752942,0.48,0.0,False,0.14191274861197922
49,411.97755827058967,0.54,0.0,False,0.14191274861197922
50,438.19752010430204,0.48,0.0,False,0.14191274861197922
51,434.072993703912,0.4,0.0,False,0.14191274861197922
52,423.0601864077633,0.54,0.0,False,0.14191274861197922
53,429.4786983004345,0.44,0.0,False,0.14191274861197922
54,409.4157217995439,0.48,0.0,False,0.14191274861197922
55,438.019476431154,0.46,0.0,False,0.14191274861197922
56,430.49127082867096,0.28,0.0,False,0.14191274861197922
57,414.8980912903203,0.52,0.0,False,0.14191274861197922
58,446.3352084286709,0.36,0.0,False,0.14191274861197922
59,434.2812656062056,0.5,0.0,False,0.14191274861197922
60,403.03394318473414,0.48,0.0,False,0.14191274861197922
61,424.6397211147272,0.56,0.0,False,0.14191274861197922
62,399.2135473514036,0.62,0.0,False,0.14191274861197922
63,436.8154556871137,0.56,0.0,False,0.14191274861197922
64,411.54308457640343,0.52,0.0,False,0.14191274861197922
65,462.78179310626916,0.26,0.0,False,0.14191274861197922
66,448.45002320575645,0.42,0.0,False,0.14191274861197922
67,426.5806524086754,0.48,0.0,False,0.14191274861197922
68,406.45426449107174,0.58,0.0,False,0.14191274861197922
69,408.38978598328123,0.5,0.0,False,0.14191274861197922
70,443.2247132948487,0.44,0.0,False,0.14191274861197922
71,396.96013784303307,0.56,0.0,False,0.14191274861197922
72,454.5813156266887,0.4,0.0,False,0.14191274861197922
73,408.83185848768784,0.4,0.0,False,0.14191274861197922
74,423.0997995527301,0.5,0.0,False,0.14191274861197922
75,407.3802085848892,0.62,0.0,False,0.14191274861197922
76,411.46818615565877,0.52,0.0,False,0.14191274861197922
77,420.09641571743714,0.56,0.0,False,0.14191274861197922
78,433.2242356739022,0.48,0.0,False,0.14191274861197922
79,420.0287888686268,0.5,0.0,False,0.14191274861197922
80,438.9588532759496,0.36,0.0,False,0.14191274861197922
81,407.5866883786302,0.58,0.03333333333333333,False,0.14191274861197922
82,388.9733249032996,0.62,0.0,False,0.14191274861197922
83,397.9645695250006,0.62,0.0,False,0.14191274861197922
84,424.1141803096864,0.52,0.0,False,0.14191274861197922
85,384.9875301296307,0.6,0.0,False,0.14191274861197922
86,410.62327724509987,0.5,0.0,False,0.14191274861197922
87,426.59725787645186,0.4,0.0,False,0.14191274861197922
88,422.15051409401525,0.42,0.045454545454545456,False,0.14191274861197922
89,414.7750325479854,0.48,0.0,False,0.14191274861197922
90,433.50230617365276,0.42,0.0,False,0.14191274861197922
91,403.5686005622763,0.46,0.0,False,0.14191274861197922
92,418.41621360066347,0.48,0.0,False,0.14191274861197922
93,419.6262315567409,0.54,0.0,False,0.14191274861197922
94,440.37034130829056,0.4,0.0,False,0.14191274861197922
