replication,mse,tpr,fdp,exact_support_recovery,lambda_used
1,0.2701033833666018,1.0,0.0,True,0.0016061449065572664
2,0.262986509147243,1.0,0.0,True,0.0016061449065572664
3,0.2806312642581238,1.0,0.0,True,0.0016061449065572664
4,0.3160132837156482,1.0,0.0,True,0.0016061449065572664
5,0.2998710271410107,1.0,0.0,True,0.0016061449065572664
6,0.2879672380482897,1.0,0.0,True,0.0016061449065572664
7,0.33080381963817557,1.0,0.0,True,0.0016061449065572664
8,0.2996121016731772,1.0,0.0,True,0.0016061449065572664
9,0.2770504675098424,1.0,0.0,True,0.0016061449065572664
10,0.2587210774208892,1.0,0.0,True,0.0016061449065572664
11,0.30074341315338254,1.0,0.0,True,0.0016061449065572664
12,0.3115976927646889,1.0,0.0,True,0.0016061449065572664
13,0.2630839315446965,1.0,0.0,True,0.0016061449065572664
14,0.2468705679295649,1.0,0.0,True,0.0016061449065572664
15,0.2660265747364164,1.0,0.0,True,0.0016061449065572664
16,0.3042198090658588,1.0,0.0,True,0.0016061449065572664
17,0.2614698990141909,1.0,0.0,True,0.0016061449065572664
18,0.2603537974296091,1.0,0.0,True,0.0016061449065572664
19,0.30726142776704923,1.0,0.0,True,0.0016061449065572664
20,0.3019242351601601,1.0,0.0,True,0.0016061449065572664
21,0.238374945624331,1.0,0.0,True,0.0016061449065572664
22,0.23012354942586744,1.0,0.0,True,0.0016061449065572664
23,0.27240654277596,1.0,0.0,True,0.0016061449065572664
24,0.2768704177920393,1.0,0.0,True,0.0016061449065572664
25,0.2627990605678203,1.0,0.0,True,0.0016061449065572664
26,0.29625378016921455,1.0,0.0,True,0.0016061449065572664
27,0.24592497194332644,1.0,0.0,True,0.0016061449065572664
28,0.306236161847957,1.0,0.0,True,0.0016061449065572664
29,0.22404697065497572,1.0,0.0,True,0.0016061449065572664
30,0.2797998656807664,1.0,0.0,True,0.0016061449065572664
31,0.2634024670673796,1.0,0.0,True,0.0016061449065572664
32,0.25919638037207815,1.0,0.0,True,0.0016061449065572664
33,0.24057889609022795,1.0,0.0,True,0.0016061449065572664
34,0.2607281133915619,1.0,0.0,True,0.0016061449065572664
35,0.2624993768420488,1.0,0.0,True,0.0016061449065572664
36,0.287816447257004,1.0,0.0,True,0.0016061449065572664
37,0.31895931574424297,1.0,0.0,True,0.0016061449065572664
38,0.25075516728640307,1.0,0.0,True,0.0016061449065572664
39,0.26495423736232343,1.0,0.0,True,0.0016061449065572664
40,0.2676359896973088,1.0,0.0,True,0.0016061449065572664
41,0.28237966995425073,1.0,0.0,True,0.0016061449065572664
42,0.2928155569657181,1.0,0.0,True,0.0016061449065572664
43,0.28437335975650935,1.0,0.0,True,0.0016061449065572664
44,0.2519490290488889,1.0,0.0,True,0.0016061449065572664
45,0.2846084075215964,1.0,0.0,True,0.0016061449065572664
46,0.26744858707263164,1.0,0.0,True,0.0016061449065572664
47,0.26925286489759387,1.0,0.0,True,0.0016061449065572664
48,0.26983147278585784,1.0,0.0,True,0.0016061449065572664
49,0.30952955124818815,1.0,0.0,True,0.0016061449065572664
50,0.29509386174478575,1.0,0.0,True,0.0016061449065572664
51,0.2896073123138412,1.0,0.0,True,0.0016061449065572664
52,0.28046521876522484,1.0,0.0,True,0.0016061449065572664
53,0.26225845435662964,1.0,0.0,True,0.0016061449065572664
54,0.269148027747217,1.0,0.0,True,0.0016061449065572664
55,0.24450445350340425,1.0,0.0,True,0.0016061449065572664
56,0.27686885876431794,1.0,0.0,True,0.0016061449065572664
57,0.22506277360494387,1.0,0.0,True,0.0016061449065572664
58,0.2863563273804376,1.0,0.0,True,0.0016061449065572664
59,0.2652032689427153,1.0,0.0,True,0.0016061449065572664
60,0.26412902833885565,1.0,0.0,True,0.0016061449065572664
61,0.30236931424435365,1.0,0.0,True,0.0016061449065572664
62,0.31714433848833745,1.0,0.0,True,0.0016061449065572664
63,0.293887219944824,1.0,0.0,True,0.0016061449065572664
64,0.22735089462802652,1.0,0.0,True,0.0016061449065572664
65,0.2909953351042277,1.0,0.0,True,0.0016061449065572664
66,0.2834005077799261,1.0,0.0,True,0.0016061449065572664
67,0.2659621251641338,1.0,0.0,True,0.0016061449065572664
68,0.23367940956386077,1.0,0.0,True,0.0016061449065572664
69,0.2945657251024342,1.0,0.0,True,0.0016061449065572664
70,0.2590627665544047,1.0,0.0,True,0.0016061449065572664
71,0.2558352380067475,1.0,0.0,True,0.0016061449065572664
72,0.2845229151593828,1.0,0.0,True,0.0016061449065572664
73,0.2663016181373239,1.0,0.0,True,0.0016061449065572664
74,0.2812616758758105,1.0,0.0,True,0.0016061449065572664
75,0.24435940927762761,1.0,0.0,True,0.0016061449065572664
76,0.2577722657114957,1.0,0.0,True,0.0016061449065572664
77,0.2873836640790311,1.0,0.0,True,0.0016061449065572664
78,0.25571096508734636,1.0,0.0,True,0.0016061449065572664
79,0.25439303979905203,1.0,0.0,True,0.0016061449065572664
80,0.281358092068348,1.0,0.0,True,0.0016061449065572664
81,0.2759590599441779,1.0,0.0,True,0.0016061449065572664
82,0.2785484470490663,1.0,0.0,True,0.0016061449065572664
83,0.27568175378504906,1.0,0.0,True,0.0016061449065572664
84,0.25256298679392364,1.0,0.0,True,0.0016061449065572664
85,0.22926941526692005,1.0,0.0,True,0.0016061449065572664
86,0.2299931466113312,1.0,0.0,True,0.0016061449065572664
87,0.27244134144951854,1.0,0.0,True,0.0016061449065572664
88,0.3011825525804285,1.0,0.0,True,0.0016061449065572664
89,0.2578714587749857,1.0,0.0,True,0.0016061449065572664
90,0.23992797730760815,1.0,0.0,True,0.0016061449065572664
91,0.2666913762205568,1.0,0.0,True,0.0016061449065572664
92,0.2625029720098073,1.0,0.0,True,0.0016061449065572664
93,0.28600386261626076,1.0,0.0,True,0.0016061449065572664
94,0.32286410445001046,1.0,0.0,True,0.0016061449065572664
95,0.29040783074028936,1.0,0.0,True,0.0016061449065572664
96,0.304466429170707,1.0,0.0,True,0.0016061449065572664
97,0.26544625529208477,1.0,0.0,True,0.0016061449065572664
98,0.2696248377342457,1.0,0.0,True,0.0016061449065572664
99,0.27785650155969427,1.0,0.0,True,0.0016061449065572664
100,0.2753700784202531,1.0,0.0,True,0.0016061449065572664
101,0.245212936121568,1.0,0.0,True,0.0016061449065572664
102,0.2818048464715714,1.0,0.0,True,0.0016061449065572664
103,0.28505413888641795,1.0,0.0,True,0.0016061449065572664
104,0.24506664135245143,1.0,0.0,True,0.0016061449065572664
105,0.2837197254346384,1.0,0.0,True,0.0016061449065572664
106,0.27916356813336723,1.0,0.0,True,0.0016061449065572664
107,0.2579065225628535,1.0,0.0,True,0.0016061449065572664
108,0.25365419251469085,1.0,0.0,True,0.0016061449065572664
109,0.2873406420637426,1.0,0.0,True,0.0016061449065572664
110,0.28629845342717863,1.0,0.0,True,0.0016061449065572664
111,0.25413769478582254,1.0,0.0,True,0.0016061449065572664
112,0.29938041581953223,1.0,0.0,True,0.0016061449065572664
113,0.2953985225467652,1.0,0.0,True,0.0016061449065572664
114,0.26195756937529524,1.0,0.0,True,0.0016061449065572664
115,0.27557066358528426,1.0,0.0,True,0.0016061449065572664
116,0.24105716991814005,1.0,0.0,True,0.0016061449065572664
117,0.2389881710925539,1.0,0.0,True,0.0016061449065572664
118,0.26687899753383365,1.0,0.0,True,0.0016061449065572664
119,0.2405738565389116,1.0,0.0,True,0.0016061449065572664
120,0.29493242513971907,1.0,0.0,True,0.0016061449065572664
121,0.2902085395720041,1.0,0.0,True,0.0016061449065572664
122,0.263059636533479,1.0,0.0,True,0.0016061449065572664
123,0.22801806490309623,1.0,0.0,True,0.0016061449065572664
124,0.28411190679038345,1.0,0.0,True,0.0016061449065572664
125,0.30162115515401616,1.0,0.0,True,0.0016061449065572664
126,0.23835423609744794,1.0,0.0,True,0.0016061449065572664
127,0.24694854333309466,1.0,0.0,True,0.0016061449065572664
128,0.2571787486463798,1.0,0.0,True,0.0016061449065572664
129,0.22802103819196093,1.0,0.0,True,0.0016061449065572664
130,0.30247912470087973,1.0,0.0,True,0.0016061449065572664
131,0.2799732105044054,1.0,0.0,True,0.0016061449065572664
132,0.24579533764782305,1.0,0.0,True,0.0016061449065572664
133,0.2868784837329381,1.0,0.0,True,0.0016061449065572664
134,0.27230579156539375,1.0,0.0,True,0.0016061449065572664
135,0.26347795073605434,1.0,0.0,True,0.0016061449065572664
136,0.2636417095984474,1.0,0.0,True,0.0016061449065572664
137,0.2439660455815367,1.0,0.0,True,0.0016061449065572664
138,0.29422866738796255,1.0,0.0,True,0.0016061449065572664
139,0.30771112043650656,1.0,0.0,True,0.0016061449065572664
140,0.27247206786584394,1.0,0.0,True,0.0016061449065572664
141,0.2642812588342309,1.0,0.0,True,0.0016061449065572664
142,0.2690277061191274,1.0,0.0,True,0.0016061449065572664
143,0.27357497092752864,1.0,0.0,True,0.0016061449065572664
144,0.27348742620633787,1.0,0.0,True,0.0016061449065572664
145,0.28180374918284706,1.0,0.0,True,0.0016061449065572664
146,0.2779018063632078,1.0,0.0,True,0.0016061449065572664
147,0.296261593206758,1.0,0.0,True,0.0016061449065572664
148,0.29586501852975305,1.0,0.0,True,0.0016061449065572664
149,0.265082667060784,1.0,0.0,True,0.0016061449065572664
150,0.2546314691454154,1.0,0.0,True,0.0016061449065572664
151,0.3201509177258987,1.0,0.0,True,0.0016061449065572664
152,0.2660319225389761,1.0,0.0,True,0.0016061449065572664
153,0.3101434143465693,1.0,0.0,True,0.0016061449065572664
154,0.2826136815348457,1.0,0.0,True,0.0016061449065572664
155,0.24761161220286423,1.0,0.0,True,0.0016061449065572664
156,0.26708800390922416,1.0,0.0,True,0.0016061449065572664
157,0.26669164896176095,1.0,0.0,True,0.0016061449065572664
158,0.26666317928047684,1.0,0.0,True,0.0016061449065572664
159,0.2817879254362687,1.0,0.0,True,0.0016061449065572664
160,0.2679859364976975,1.0,0.0,True,0.0016061449065572664
161,0.27291894292274493,1.0,0.0,True,0.0016061449065572664
162,0.25317825993923326,1.0,0.0,True,0.0016061449065572664
163,0.25361705626843845,1.0,0.0,True,0.0016061449065572664
164,0.2899455557982368,1.0,0.0,True,0.0016061449065572664
165,0.25048504445130193,1.0,0.0,True,0.0016061449065572664
166,0.25607777938951887,1.0,0.0,True,0.0016061449065572664
167,0.25493498473533854,1.0,0.0,True,0.0016061449065572664
168,0.24676975638329185,1.0,0.0,True,0.0016061449065572664
169,0.27475604439259316,1.0,0.0,True,0.0016061449065572664
170,0.268552287667675,1.0,0.0,True,0.0016061449065572664
171,0.28107797678741453,1.0,0.0,True,0.0016061449065572664
172,0.2933472980949048,1.0,0.0,True,0.0016061449065572664
173,0.25680128247283046,1.0,0.0,True,0.0016061449065572664
174,0.22716254818008286,1.0,0.0,True,0.0016061449065572664
175,0.28931421122521245,1.0,0.0,True,0.0016061449065572664
176,0.30025148811993796,1.0,0.0,True,0.0016061449065572664
177,0.2837598407883394,1.0,0.0,True,0.0016061449065572664
178,0.2625112443610735,1.0,0.0,True,0.0016061449065572664
179,0.2660942086088055,1.0,0.0,True,0.0016061449065572664
180,0.2620221482082866,1.0,0.0,True,0.0016061449065572664
181,0.27392093716597027,1.0,0.0,True,0.0016061449065572664
182,0.25935632970287575,1.0,0.0,True,0.0016061449065572664
183,0.23648409025120118,1.0,0.0,True,0.0016061449065572664
184,0.2682291089898868,1.0,0.0,True,0.0016061449065572664
185,0.24730329292474199,1.0,0.0,True,0.0016061449065572664
186,0.2545909938625746,1.0,0.0,True,0.0016061449065572664
187,0.2327865410749022,1.0,0.0,True,0.0016061449065572664
188,0.2624859053232443,1.0,0.0,True,0.0016061449065572664
189,0.27788147659596496,1.0,0.0,True,0.0016061449065572664
190,0.3060682552379684,1.0,0.0,True,0.0016061449065572664
191,0.24988828108214103,1.0,0.0,True,0.0016061449065572664
192,0.26339777759032335,1.0,0.0,True,0.0016061449065572664
193,0.2700728474244031,1.0,0.0,True,0.0016061449065572664
194,0.2844213571293316,1.0,0.0,True,0.0016061449065572664
195,0.2971182362986393,1.0,0.0,True,0.0016061449065572664
196,0.2570239744676581,1.0,0.0,True,0.0016061449065572664
197,0.22678645268566475,1.0,0.0,True,0.0016061449065572664
198,0.2705303350739423,1.0,0.0,True,0.0016061449065572664
199,0.26725757027483305,1.0,0.0,True,0.0016061449065572664
200,0.25696016097448704,1.0,0.0,True,0.0016061449065572664
